start_date,start_time,end_date,end_time,start_freq,end_freq,Loc,NOAA,Imp,cme_date,cme_time,CPA,Width,Speed,Plots,is_halo,width_is_lower_bound
1996/05/15,05:45,05/15,06:34,10000,500,,,,,,,,,PHTX uncertain,False,False
1997/01/20,08:56,01/20,09:02,14000,12000,,,,01/20,09:31,281,72,175,PHTX,False,False
1997/04/01,14:00,04/01,14:15,8000,4000,S25E16,8026,M1.3,04/01,15:18,74,79,312,PHTX,False,False
1997/04/07,14:30,04/07,17:30,11000,1000,S28E19,8027,C6.8,04/07,14:27,,360,878,PHTX,True,False
1997/05/12,05:15,05/14,16:00,12000,80,N21W08,8038,C1.3,05/12,05:30,,360,464,PHTX,True,False
1997/05/21,20:20,05/21,22:00,5000,500,N05W12,8040,M1.3,05/21,21:00,263,165,296,PHTX,False,False
1997/09/23,21:53,09/23,22:16,6000,2000,S29E25,8088,C1.4,09/23,22:02,133,155,712,PHTX,False,False
1997/11/03,05:15,11/03,12:00,14000,250,S20W13,8100,C8.6,11/03,05:28,240,109,227,PHTX,False,False
1997/11/03,10:30,11/03,11:30,14000,5000,S16W21,8100,M4.2,11/03,11:11,233,122,352,PHTX,False,False
1997/11/04,06:00,11/05,04:30,14000,100,S14W33,8100,X2.1,11/04,06:10,,360,785,PHTX,True,False
1997/11/06,12:20,11/07,08:30,14000,100,S18W63,8100,X9.4,11/06,12:10,,360,1556,PHTX,True,False
1997/11/27,13:30,11/27,14:00,14000,7000,N17E63,8113,X2.6,11/27,13:56,98,91,441,PHTX,False,False
1997/12/12,22:45,12/12,23:20,14000,8000,N25W52,8116,B9.4,12/13,00:26,278,73,191,PHTX,False,False
1998/01/25,15:03,01/25,15:18,14000,10000,N21E25,8141,C1.1,01/25,15:26,,360,693,PHTX,True,False
1998/03/29,03:40,03/29,03:52,14000,7000,S90b,DIM,,03/29,03:48,,360,1397,PHTX,True,False
1998/04/20,10:25,04/22,06:00,10000,35,S22W90,8194,M1.4,04/20,10:07,284,165,1863,PHTX,False,False
1998/04/23,06:00,04/23,15:30,14000,200,S17E90,8210,X1.2,04/23,05:55,,360,1691,PHTX,True,False
1998/04/24,09:17,04/24,09:25,4700,2600,S20E90,8210,C8.9,04/24,08:55,100,84,1184,PHTX uncertain,False,False
